user_id,signup_date,group,activated,weekly_usage,retained_4w,paid,revenue,,,,,,
1501,00:08.6,control,0,0,0,0,0,,,,,,
1502,00:08.6,treatment,1,4,1,1,10.25383716,,,,,,
1503,00:08.6,control,0,2,0,0,0,,,,,,
1504,00:08.6,control,1,8,0,0,0,,,,,,
1505,00:08.6,treatment,0,1,0,0,0,,,,,,
1506,00:08.6,control,1,4,0,0,0,,,,,,
1507,00:08.6,treatment,0,1,0,0,0,,,,,,
1508,00:08.6,treatment,1,7,1,0,0,,,,,,
1509,00:08.6,control,1,2,0,0,0,,,,,,
1510,00:08.6,control,1,4,1,0,0,,,,,,
1511,00:08.6,control,0,1,1,0,0,,,,,,
1512,00:08.6,control,1,7,0,0,0,,,,,,
1513,00:08.6,control,0,0,0,0,0,,,,,,
1514,00:08.6,treatment,0,2,0,0,0,,,,,,
1515,00:08.6,control,1,6,0,0,0,,,,,,
1516,00:08.6,treatment,0,3,0,0,0,,,,,,
1517,00:08.6,control,1,3,0,1,9.355755908,,,,,,
1518,00:08.6,control,0,1,0,0,0,,,,,,
1519,00:08.6,control,1,7,0,0,0,,,,,,
1520,00:08.6,treatment,1,3,0,0,0,,,,,,
1521,00:08.6,control,1,6,1,1,11.03903825,,,,,,
1522,00:08.6,treatment,0,0,1,0,0,,,,,,
1523,00:08.6,treatment,0,1,0,0,0,,,,,,
1524,00:08.6,treatment,1,9,0,0,0,,,,,,
1525,00:08.6,control,1,11,1,0,0,,,,,,
1526,00:08.6,treatment,0,0,0,0,0,,,,,,
1527,00:08.6,control,1,7,0,0,0,,,,,,
1528,00:08.6,treatment,1,5,0,1,12.7993316,,,,,,
1529,00:08.6,control,0,2,1,0,0,,,,,,
1530,00:08.6,treatment,1,8,1,0,0,,,,,,
1531,00:08.6,control,1,6,0,0,0,,,,,,
1532,00:08.6,control,1,5,0,0,0,,,,,,
1533,00:08.6,control,1,6,0,1,10.81929087,,,,,,
1534,00:08.6,treatment,1,4,1,0,0,,,,,,
1535,00:08.6,treatment,1,5,0,0,0,,,,,,
1536,00:08.6,control,1,4,0,1,12.24745806,,,,,,
1537,00:08.6,treatment,0,1,1,0,0,,,,,,
1538,00:08.6,treatment,0,1,0,0,0,,,,,,
1539,00:08.6,treatment,0,0,0,0,0,,,,,,
1540,00:08.6,treatment,1,6,1,0,0,,,,,,
1541,00:08.6,treatment,0,5,1,0,0,,,,,,
1542,00:08.6,treatment,0,1,1,0,0,,,,,,
1543,00:08.6,treatment,1,6,1,0,0,,,,,,
1544,00:08.6,control,0,0,0,0,0,,,,,,
1545,00:08.6,control,0,1,0,0,0,,,,,,
1546,00:08.6,treatment,1,5,0,1,9.502591426,,,,,,
1547,00:08.6,control,1,8,1,0,0,,,,,,
1548,00:08.6,control,0,0,0,0,0,,,,,,
1549,00:08.6,control,0,1,0,0,0,,,,,,
1550,00:08.6,treatment,1,6,1,1,7.374258414,,,,,,
1551,00:08.6,treatment,0,2,1,1,12.58740722,,,,,,
1552,00:08.6,treatment,1,9,1,0,0,,,,,,
1553,00:08.6,treatment,0,3,0,1,10.99835359,,,,,,
1554,00:08.6,treatment,1,4,0,0,0,,,,,,
1555,00:08.6,control,0,2,1,0,0,,,,,,
1556,00:08.6,treatment,1,4,0,0,0,,,,,,
1557,00:08.6,control,0,3,0,0,0,,,,,,
1558,00:08.6,treatment,1,10,0,1,12.12041308,,,,,,
1559,00:08.6,control,0,1,0,0,0,,,,,,
1560,00:08.6,treatment,0,2,0,0,0,,,,,,
1561,00:08.6,treatment,0,0,0,1,13.17948084,,,,,,
1562,00:08.6,treatment,1,2,0,0,0,,,,,,
1563,00:08.6,treatment,1,7,0,0,0,,,,,,
1564,00:08.6,treatment,0,0,0,0,0,,,,,,
1565,00:08.6,treatment,0,0,0,0,0,,,,,,
1566,00:08.6,control,0,2,0,0,0,,,,,,
1567,00:08.6,treatment,0,1,1,0,0,,,,,,
1568,00:08.6,control,1,6,0,0,0,,,,,,
1569,00:08.6,treatment,0,0,1,0,0,,,,,,
1570,00:08.6,control,0,1,0,0,0,,,,,,
1571,00:08.6,control,0,3,0,0,0,,,,,,
1572,00:08.6,control,0,0,0,0,0,,,,,,
1573,00:08.6,control,1,7,0,0,0,,,,,,
1574,00:08.6,control,1,3,1,1,11.80959436,,,,,,
1575,00:08.6,control,0,1,0,0,0,,,,,,
1576,00:08.6,treatment,0,1,1,0,0,,,,,,
1577,00:08.6,control,1,3,1,0,0,,,,,,
1578,00:08.6,treatment,0,3,0,0,0,,,,,,
1579,00:08.6,treatment,0,2,1,0,0,,,,,,
1580,00:08.6,control,1,3,1,0,0,,,,,,
1581,00:08.6,control,0,0,0,0,0,,,,,,
1582,00:08.6,treatment,0,0,0,0,0,,,,,,
1583,00:08.6,control,1,7,0,0,0,,,,,,
1584,00:08.6,control,0,0,1,0,0,,,,,,
1585,00:08.6,control,0,0,1,0,0,,,,,,
1586,00:08.6,control,1,4,1,1,12.37522811,,,,,,
1587,00:08.6,control,0,2,1,0,0,,,,,,
1588,00:08.6,control,1,6,0,0,0,,,,,,
1589,00:08.6,control,0,3,0,0,0,,,,,,
1590,00:08.6,treatment,1,10,0,0,0,,,,,,
1591,00:08.6,control,0,0,0,0,0,,,,,,
1592,00:08.6,treatment,1,3,1,0,0,,,,,,
1593,00:08.6,treatment,0,2,0,1,10.56091532,,,,,,
1594,00:08.6,treatment,0,1,0,0,0,,,,,,
1595,00:08.6,treatment,1,1,0,0,0,,,,,,
1596,00:08.6,control,0,1,1,0,0,,,,,,
1597,00:08.6,treatment,1,6,1,1,14.49024968,,,,,,
1598,00:08.6,treatment,1,4,1,0,0,,,,,,
1599,00:08.6,treatment,0,1,0,0,0,,,,,,
1600,00:08.6,treatment,1,5,1,1,9.518773954,,,,,,
1601,00:08.6,treatment,1,3,0,0,0,,,,,,
1602,00:08.6,control,0,1,0,0,0,,,,,,
1603,00:08.6,control,0,3,0,0,0,,,,,,
1604,00:08.6,treatment,1,2,0,0,0,,,,,,
1605,00:08.6,control,0,1,0,0,0,,,,,,
1606,00:08.6,control,1,4,0,1,9.173989937,,,,,,
1607,00:08.6,treatment,0,0,0,0,0,,,,,,
1608,00:08.6,treatment,0,1,0,0,0,,,,,,
1609,00:08.6,treatment,1,4,0,1,9.79502061,,,,,,
1610,00:08.6,control,0,1,0,0,0,,,,,,
1611,00:08.6,treatment,1,6,1,0,0,,,,,,
1612,00:08.6,control,1,3,0,0,0,,,,,,
1613,00:08.6,control,1,4,0,1,8.783253749,,,,,,
1614,00:08.6,control,0,0,0,0,0,,,,,,
1615,00:08.6,treatment,1,7,1,0,0,,,,,,
1616,00:08.6,control,1,5,1,1,10.13283539,,,,,,
1617,00:08.6,treatment,0,1,0,0,0,,,,,,
1618,00:08.6,treatment,0,1,0,1,12.08031673,,,,,,
1619,00:08.6,treatment,0,0,1,0,0,,,,,,
1620,00:08.6,treatment,0,2,0,0,0,,,,,,
1621,00:08.6,treatment,1,3,0,0,0,,,,,,
1622,00:08.6,control,1,3,0,1,11.99064435,,,,,,
1623,00:08.6,control,1,4,0,0,0,,,,,,
1624,00:08.6,control,1,6,0,0,0,,,,,,
1625,00:08.6,control,0,2,1,0,0,,,,,,
1626,00:08.6,control,0,0,0,0,0,,,,,,
1627,00:08.6,treatment,1,3,0,0,0,,,,,,
1628,00:08.6,treatment,1,6,1,0,0,,,,,,
1629,00:08.6,control,1,1,1,0,0,,,,,,
1630,00:08.6,control,0,1,1,0,0,,,,,,
1631,00:08.6,control,0,0,0,0,0,,,,,,
1632,00:08.6,treatment,0,2,0,0,0,,,,,,
1633,00:08.6,treatment,1,3,1,0,0,,,,,,
1634,00:08.6,treatment,1,6,0,1,13.71893175,,,,,,
1635,00:08.6,control,0,0,0,0,0,,,,,,
1636,00:08.6,control,1,6,1,0,0,,,,,,
1637,00:08.6,control,0,0,0,1,9.826177224,,,,,,
1638,00:08.6,control,1,2,0,0,0,,,,,,
1639,00:08.6,treatment,1,5,0,0,0,,,,,,
1640,00:08.6,control,1,7,0,0,0,,,,,,
1641,00:08.6,control,0,2,0,0,0,,,,,,
1642,00:08.6,control,0,3,1,0,0,,,,,,
1643,00:08.6,treatment,1,9,0,0,0,,,,,,
1644,00:08.6,treatment,1,6,0,0,0,,,,,,
1645,00:08.6,control,1,6,0,1,10.21164832,,,,,,
1646,00:08.6,treatment,1,3,0,1,9.880015836,,,,,,
1647,00:08.6,treatment,1,4,0,0,0,,,,,,
1648,00:08.6,treatment,0,1,0,0,0,,,,,,
1649,00:08.6,treatment,1,2,0,0,0,,,,,,
1650,00:08.6,treatment,1,7,1,0,0,,,,,,
1651,00:08.6,control,1,8,1,0,0,,,,,,
1652,00:08.6,control,1,5,0,0,0,,,,,,
1653,00:08.6,control,0,1,0,0,0,,,,,,
1654,00:08.6,treatment,1,3,0,0,0,,,,,,
1655,00:08.6,treatment,0,1,1,0,0,,,,,,
1656,00:08.6,treatment,1,6,0,0,0,,,,,,
1657,00:08.6,treatment,0,2,0,0,0,,,,,,
1658,00:08.6,control,0,4,0,0,0,,,,,,
1659,00:08.6,control,1,7,0,0,0,,,,,,
1660,00:08.6,control,0,2,1,0,0,,,,,,
1661,00:08.6,control,1,2,0,0,0,,,,,,
1662,00:08.6,control,0,1,0,0,0,,,,,,
1663,00:08.6,control,1,9,1,1,8.255775694,,,,,,
1664,00:08.6,treatment,1,4,1,0,0,,,,,,
1665,00:08.6,treatment,1,5,1,0,0,,,,,,
1666,00:08.6,control,1,11,0,1,8.497022721,,,,,,
1667,00:08.6,treatment,1,3,0,0,0,,,,,,
1668,00:08.6,control,1,3,0,0,0,,,,,,
1669,00:08.6,control,0,0,0,0,0,,,,,,
1670,00:08.6,treatment,0,2,0,0,0,,,,,,
1671,00:08.6,control,0,1,0,0,0,,,,,,
1672,00:08.6,control,1,7,1,0,0,,,,,,
1673,00:08.6,control,1,2,0,0,0,,,,,,
1674,00:08.6,treatment,1,4,0,1,9.947478815,,,,,,
1675,00:08.6,treatment,0,3,0,0,0,,,,,,
1676,00:08.6,treatment,0,1,1,0,0,,,,,,
1677,00:08.6,treatment,1,7,0,0,0,,,,,,
1678,00:08.6,control,1,5,0,0,0,,,,,,
1679,00:08.6,treatment,1,4,1,1,12.66005309,,,,,,
1680,00:08.6,treatment,0,3,0,1,10.36043337,,,,,,
1681,00:08.6,treatment,1,7,0,1,5.860545628,,,,,,
1682,00:08.6,control,0,3,0,0,0,,,,,,
1683,00:08.6,treatment,1,3,0,0,0,,,,,,
1684,00:08.6,treatment,0,1,0,0,0,,,,,,
1685,00:08.6,control,1,5,1,0,0,,,,,,
1686,00:08.6,control,1,4,0,0,0,,,,,,
1687,00:08.6,control,0,1,1,0,0,,,,,,
1688,00:08.6,control,0,1,1,0,0,,,,,,
1689,00:08.6,treatment,0,1,0,0,0,,,,,,
1690,00:08.6,control,1,5,1,0,0,,,,,,
1691,00:08.6,treatment,1,3,0,0,0,,,,,,
1692,00:08.6,treatment,1,6,0,0,0,,,,,,
1693,00:08.6,treatment,1,5,0,0,0,,,,,,
1694,00:08.6,treatment,1,5,0,0,0,,,,,,
1695,00:08.6,treatment,0,1,1,0,0,,,,,,
1696,00:08.6,control,1,5,0,0,0,,,,,,
1697,00:08.6,treatment,0,1,1,0,0,,,,,,
1698,00:08.6,treatment,1,2,0,0,0,,,,,,
1699,00:08.6,treatment,1,12,0,0,0,,,,,,
1700,00:08.6,control,1,7,1,0,0,,,,,,
1701,00:08.6,treatment,0,1,0,0,0,,,,,,
1702,00:08.6,treatment,1,5,0,1,13.64030418,,,,,,
1703,00:08.6,control,1,7,1,0,0,,,,,,
1704,00:08.6,treatment,1,1,0,0,0,,,,,,
1705,00:08.6,treatment,0,2,1,0,0,,,,,,
1706,00:08.6,control,0,0,0,0,0,,,,,,
1707,00:08.6,treatment,0,2,0,0,0,,,,,,
1708,00:08.6,treatment,1,2,0,0,0,,,,,,
1709,00:08.6,treatment,1,5,0,0,0,,,,,,
1710,00:08.6,treatment,0,1,1,0,0,,,,,,
1711,00:08.6,treatment,0,2,0,0,0,,,,,,
1712,00:08.6,control,0,2,0,0,0,,,,,,
1713,00:08.6,control,0,1,1,1,8.92335582,,,,,,
1714,00:08.6,control,0,0,1,0,0,,,,,,
1715,00:08.6,treatment,0,1,1,1,10.61666971,,,,,,
1716,00:08.6,treatment,0,2,0,0,0,,,,,,
1717,00:08.6,treatment,0,1,0,0,0,,,,,,
1718,00:08.6,control,1,4,1,0,0,,,,,,
1719,00:08.6,treatment,0,0,0,0,0,,,,,,
1720,00:08.6,treatment,1,7,0,0,0,,,,,,
1721,00:08.6,treatment,1,4,0,0,0,,,,,,
1722,00:08.6,control,1,7,0,0,0,,,,,,
1723,00:08.6,control,1,5,0,0,0,,,,,,
1724,00:08.6,treatment,0,0,0,0,0,,,,,,
1725,00:08.6,treatment,0,0,0,0,0,,,,,,
1726,00:08.6,treatment,0,0,1,0,0,,,,,,
1727,00:08.6,control,1,3,1,0,0,,,,,,
1728,00:08.6,control,0,1,1,0,0,,,,,,
1729,00:08.6,control,0,1,1,0,0,,,,,,
1730,00:08.6,treatment,0,2,0,0,0,,,,,,
1731,00:08.6,control,1,5,1,0,0,,,,,,
1732,00:08.6,treatment,1,4,0,0,0,,,,,,
1733,00:08.6,treatment,1,6,0,0,0,,,,,,
1734,00:08.6,control,0,1,0,0,0,,,,,,
1735,00:08.6,treatment,1,5,0,0,0,,,,,,
1736,00:08.6,control,1,3,1,0,0,,,,,,
1737,00:08.6,treatment,1,7,0,0,0,,,,,,
1738,00:08.6,treatment,0,0,1,0,0,,,,,,
1739,00:08.6,control,0,0,1,0,0,,,,,,
1740,00:08.6,treatment,1,6,1,0,0,,,,,,
1741,00:08.6,treatment,1,8,0,0,0,,,,,,
1742,00:08.6,treatment,0,0,1,0,0,,,,,,
1743,00:08.6,treatment,0,0,0,0,0,,,,,,
1744,00:08.6,treatment,0,2,1,0,0,,,,,,
1745,00:08.6,treatment,1,2,1,0,0,,,,,,
1746,00:08.6,treatment,1,2,0,0,0,,,,,,
1747,00:08.6,treatment,1,5,1,0,0,,,,,,
1748,00:08.6,control,0,1,0,0,0,,,,,,
1749,00:08.6,control,1,1,1,0,0,,,,,,
1750,00:08.6,treatment,0,2,0,0,0,,,,,,
1751,00:08.6,treatment,0,1,1,0,0,,,,,,
1752,00:08.6,control,1,6,0,0,0,,,,,,
1753,00:08.6,treatment,1,9,1,1,9.318837519,,,,,,
1754,00:08.6,control,0,0,0,0,0,,,,,,
1755,00:08.6,control,0,2,0,0,0,,,,,,
1756,00:08.6,control,1,6,0,0,0,,,,,,
1757,00:08.6,treatment,0,1,1,0,0,,,,,,
1758,00:08.6,treatment,1,5,0,0,0,,,,,,
1759,00:08.6,treatment,1,2,0,1,12.21240715,,,,,,
1760,00:08.6,control,1,7,0,0,0,,,,,,
1761,00:08.6,control,1,2,1,0,0,,,,,,
1762,00:08.6,control,1,2,0,0,0,,,,,,
1763,00:08.6,treatment,1,5,0,0,0,,,,,,
1764,00:08.6,control,0,2,1,1,12.4879726,,,,,,
1765,00:08.6,control,1,4,1,1,10.99269857,,,,,,
1766,00:08.6,treatment,0,0,1,0,0,,,,,,
1767,00:08.6,control,0,0,0,0,0,,,,,,
1768,00:08.6,control,1,2,0,1,10.68553402,,,,,,
1769,00:08.6,treatment,0,2,1,1,9.650554457,,,,,,
1770,00:08.6,treatment,1,4,0,0,0,,,,,,
1771,00:08.6,control,0,0,0,1,8.713704482,,,,,,
1772,00:08.6,treatment,1,4,1,0,0,,,,,,
1773,00:08.6,control,0,0,1,0,0,,,,,,
1774,00:08.6,treatment,0,0,0,0,0,,,,,,
1775,00:08.6,control,0,0,0,0,0,,,,,,
1776,00:08.6,treatment,0,1,0,0,0,,,,,,
1777,00:08.6,control,1,7,0,1,9.188208137,,,,,,
1778,00:08.6,treatment,1,3,0,0,0,,,,,,
1779,00:08.6,treatment,1,5,1,0,0,,,,,,
1780,00:08.6,treatment,0,2,0,0,0,,,,,,
1781,00:08.6,treatment,0,1,0,0,0,,,,,,
1782,00:08.6,treatment,0,0,0,0,0,,,,,,
1783,00:08.6,treatment,1,8,1,0,0,,,,,,
1784,00:08.6,treatment,1,8,0,0,0,,,,,,
1785,00:08.6,control,1,5,1,0,0,,,,,,
1786,00:08.6,control,1,10,0,0,0,,,,,,
1787,00:08.6,treatment,1,6,0,0,0,,,,,,
1788,00:08.6,treatment,0,1,1,1,12.19372732,,,,,,
1789,00:08.6,control,0,1,0,0,0,,,,,,
1790,00:08.6,control,1,6,0,0,0,,,,,,
1791,00:08.6,treatment,0,3,0,0,0,,,,,,
1792,00:08.6,control,0,0,0,0,0,,,,,,
1793,00:08.6,control,1,3,0,0,0,,,,,,
1794,00:08.6,treatment,1,1,1,0,0,,,,,,
1795,00:08.6,treatment,1,8,0,0,0,,,,,,
1796,00:08.6,treatment,1,7,0,0,0,,,,,,
1797,00:08.6,control,0,1,0,0,0,,,,,,
1798,00:08.6,treatment,1,2,0,0,0,,,,,,
1799,00:08.6,treatment,0,1,0,0,0,,,,,,
1800,00:08.6,control,1,12,0,0,0,,,,,,
1801,00:08.6,treatment,1,5,0,0,0,,,,,,
1802,00:08.6,control,1,3,1,1,9.482691842,,,,,,
1803,00:08.6,control,1,4,1,0,0,,,,,,
1804,00:08.6,control,1,5,0,1,13.96877098,,,,,,
1805,00:08.6,control,1,6,0,0,0,,,,,,
1806,00:08.6,control,0,2,1,0,0,,,,,,
1807,00:08.6,control,0,2,0,0,0,,,,,,
1808,00:08.6,treatment,0,1,0,0,0,,,,,,
1809,00:08.6,treatment,1,5,0,0,0,,,,,,
1810,00:08.6,treatment,1,2,1,1,9.324719451,,,,,,
1811,00:08.6,control,0,1,0,0,0,,,,,,
1812,00:08.6,treatment,1,2,0,0,0,,,,,,
1813,00:08.6,control,0,0,0,0,0,,,,,,
1814,00:08.6,treatment,1,3,0,0,0,,,,,,
1815,00:08.6,control,0,0,1,0,0,,,,,,
1816,00:08.6,treatment,0,1,0,0,0,,,,,,
1817,00:08.6,control,1,5,0,0,0,,,,,,
1818,00:08.6,treatment,1,2,0,1,11.25311811,,,,,,
1819,00:08.6,control,0,0,0,0,0,,,,,,
1820,00:08.6,treatment,1,5,1,0,0,,,,,,
1821,00:08.6,control,0,0,1,1,9.150534518,,,,,,
1822,00:08.6,treatment,1,2,0,0,0,,,,,,
1823,00:08.6,treatment,1,5,1,0,0,,,,,,
1824,00:08.6,treatment,0,0,0,0,0,,,,,,
1825,00:08.6,control,1,6,0,0,0,,,,,,
1826,00:08.6,control,0,1,0,0,0,,,,,,
1827,00:08.6,control,0,0,0,0,0,,,,,,
1828,00:08.6,control,1,9,1,0,0,,,,,,
1829,00:08.6,control,1,6,0,0,0,,,,,,
1830,00:08.6,treatment,0,0,0,0,0,,,,,,
1831,00:08.6,control,1,4,1,0,0,,,,,,
1832,00:08.6,treatment,1,3,0,1,12.05429757,,,,,,
1833,00:08.6,treatment,1,11,0,0,0,,,,,,
1834,00:08.6,control,1,6,0,0,0,,,,,,
1835,00:08.6,treatment,1,3,0,0,0,,,,,,
1836,00:08.6,control,1,7,0,0,0,,,,,,
1837,00:08.6,control,1,6,0,0,0,,,,,,
1838,00:08.6,control,1,2,0,0,0,,,,,,
1839,00:08.6,treatment,1,4,0,0,0,,,,,,
1840,00:08.6,control,1,5,0,0,0,,,,,,
1841,00:08.6,control,0,0,0,0,0,,,,,,
1842,00:08.6,control,0,0,0,0,0,,,,,,
1843,00:08.6,treatment,1,4,0,0,0,,,,,,
1844,00:08.6,control,1,6,1,0,0,,,,,,
1845,00:08.6,treatment,1,4,1,0,0,,,,,,
1846,00:08.6,treatment,1,6,1,0,0,,,,,,
1847,00:08.6,control,0,1,0,0,0,,,,,,
1848,00:08.6,treatment,0,0,0,0,0,,,,,,
1849,00:08.6,treatment,0,1,1,1,11.05737844,,,,,,
1850,00:08.6,control,1,5,1,0,0,,,,,,
1851,00:08.6,control,1,1,0,0,0,,,,,,
1852,00:08.6,control,0,0,0,0,0,,,,,,
1853,00:08.6,treatment,0,3,0,0,0,,,,,,
1854,00:08.6,control,0,0,0,0,0,,,,,,
1855,00:08.6,treatment,0,0,0,0,0,,,,,,
1856,00:08.6,treatment,0,1,0,0,0,,,,,,
1857,00:08.6,treatment,1,6,0,0,0,,,,,,
1858,00:08.6,treatment,1,3,1,0,0,,,,,,
1859,00:08.6,treatment,0,0,0,0,0,,,,,,
1860,00:08.6,control,0,3,0,0,0,,,,,,
1861,00:08.6,control,0,1,1,0,0,,,,,,
1862,00:08.6,treatment,0,0,0,0,0,,,,,,
1863,00:08.6,treatment,1,2,0,1,10.34046532,,,,,,
1864,00:08.6,control,1,4,0,0,0,,,,,,
1865,00:08.6,control,0,1,1,0,0,,,,,,
1866,00:08.6,treatment,0,4,1,0,0,,,,,,
1867,00:08.6,treatment,1,11,0,0,0,,,,,,
1868,00:08.6,control,0,0,1,0,0,,,,,,
1869,00:08.6,control,1,8,0,0,0,,,,,,
1870,00:08.6,treatment,0,0,0,1,16.40217005,,,,,,
1871,00:08.6,control,0,1,0,0,0,,,,,,
1872,00:08.6,control,0,1,1,0,0,,,,,,
1873,00:08.6,treatment,0,1,0,0,0,,,,,,
1874,00:08.6,treatment,1,6,0,0,0,,,,,,
1875,00:08.6,treatment,0,0,1,0,0,,,,,,
1876,00:08.6,control,1,6,1,0,0,,,,,,
1877,00:08.6,treatment,0,2,1,1,13.63535523,,,,,,
1878,00:08.6,control,0,1,1,0,0,,,,,,
1879,00:08.6,treatment,1,4,0,1,9.107615951,,,,,,
1880,00:08.6,treatment,0,3,0,0,0,,,,,,
1881,00:08.6,control,0,2,0,0,0,,,,,,
1882,00:08.6,control,0,3,1,1,8.037080175,,,,,,
1883,00:08.6,treatment,1,5,1,0,0,,,,,,
1884,00:08.6,treatment,1,4,0,0,0,,,,,,
1885,00:08.6,control,0,0,1,0,0,,,,,,
1886,00:08.6,treatment,1,2,0,0,0,,,,,,
1887,00:08.6,control,1,4,0,0,0,,,,,,
1888,00:08.6,control,0,1,0,0,0,,,,,,
1889,00:08.6,treatment,1,5,0,0,0,,,,,,
1890,00:08.6,control,0,2,0,0,0,,,,,,
1891,00:08.6,control,1,6,0,0,0,,,,,,
1892,00:08.6,control,0,1,0,0,0,,,,,,
1893,00:08.6,treatment,0,0,1,0,0,,,,,,
1894,00:08.6,control,1,6,0,0,0,,,,,,
1895,00:08.6,treatment,1,2,1,0,0,,,,,,
1896,00:08.6,treatment,1,7,1,0,0,,,,,,
1897,00:08.6,treatment,1,4,0,0,0,,,,,,
1898,00:08.6,control,1,7,0,0,0,,,,,,
1899,00:08.6,control,1,3,0,1,10.58722822,,,,,,
1900,00:08.6,treatment,0,1,0,0,0,,,,,,
1901,00:08.6,treatment,1,5,1,0,0,,,,,,
1902,00:08.6,control,1,4,0,0,0,,,,,,
1903,00:08.6,treatment,1,7,1,0,0,,,,,,
1904,00:08.6,treatment,1,5,1,1,16.30586333,,,,,,
1905,00:08.6,control,1,6,1,0,0,,,,,,
1906,00:08.6,treatment,0,1,0,0,0,,,,,,
1907,00:08.6,control,0,1,0,0,0,,,,,,
1908,00:08.6,control,0,1,1,0,0,,,,,,
1909,00:08.6,treatment,1,4,0,0,0,,,,,,
1910,00:08.6,control,0,0,0,0,0,,,,,,
1911,00:08.6,control,0,0,1,0,0,,,,,,
1912,00:08.6,control,1,5,0,0,0,,,,,,
1913,00:08.6,treatment,0,0,0,0,0,,,,,,
1914,00:08.6,treatment,0,1,0,0,0,,,,,,
1915,00:08.6,treatment,0,0,0,0,0,,,,,,
1916,00:08.6,control,1,5,0,0,0,,,,,,
1917,00:08.6,control,1,7,0,0,0,,,,,,
1918,00:08.6,treatment,0,0,1,1,10.10258763,,,,,,
1919,00:08.6,treatment,1,6,0,0,0,,,,,,
1920,00:08.6,control,1,4,0,0,0,,,,,,
1921,00:08.6,treatment,1,3,1,0,0,,,,,,
1922,00:08.6,treatment,0,1,1,0,0,,,,,,
1923,00:08.6,treatment,0,3,0,0,0,,,,,,
1924,00:08.6,treatment,1,5,0,0,0,,,,,,
1925,00:08.6,treatment,0,0,0,0,0,,,,,,
1926,00:08.6,control,0,2,1,0,0,,,,,,
1927,00:08.6,treatment,0,1,0,0,0,,,,,,
1928,00:08.6,treatment,1,8,0,0,0,,,,,,
1929,00:08.6,control,0,1,0,0,0,,,,,,
1930,00:08.6,control,0,1,0,0,0,,,,,,
1931,00:08.6,control,1,12,1,0,0,,,,,,
1932,00:08.6,control,0,1,0,0,0,,,,,,
1933,00:08.6,treatment,0,0,0,0,0,,,,,,
1934,00:08.6,treatment,1,1,0,0,0,,,,,,
1935,00:08.6,treatment,0,1,0,0,0,,,,,,
1936,00:08.6,treatment,0,1,0,0,0,,,,,,
1937,00:08.6,control,0,1,0,0,0,,,,,,
1938,00:08.6,control,0,2,0,0,0,,,,,,
1939,00:08.6,treatment,0,3,0,0,0,,,,,,
1940,00:08.6,treatment,0,1,1,0,0,,,,,,
1941,00:08.6,treatment,0,0,0,0,0,,,,,,
1942,00:08.6,treatment,1,10,0,0,0,,,,,,
1943,00:08.6,control,0,3,0,0,0,,,,,,
1944,00:08.6,treatment,0,1,1,0,0,,,,,,
1945,00:08.6,control,0,1,1,1,9.432493158,,,,,,
1946,00:08.6,control,0,1,1,0,0,,,,,,
1947,00:08.6,control,0,0,1,0,0,,,,,,
1948,00:08.6,control,1,5,0,0,0,,,,,,
1949,00:08.6,treatment,0,2,0,0,0,,,,,,
1950,00:08.6,treatment,1,7,0,0,0,,,,,,
1951,00:08.6,treatment,1,5,0,0,0,,,,,,
1952,00:08.6,treatment,1,1,0,0,0,,,,,,
1953,00:08.6,control,0,1,0,0,0,,,,,,
1954,00:08.6,control,0,1,1,0,0,,,,,,
1955,00:08.6,control,1,4,0,0,0,,,,,,
1956,00:08.6,treatment,1,4,1,1,10.53855175,,,,,,
1957,00:08.6,control,0,1,0,0,0,,,,,,
1958,00:08.6,control,1,3,0,0,0,,,,,,
1959,00:08.6,control,0,1,1,0,0,,,,,,
1960,00:08.6,control,1,7,1,0,0,,,,,,
1961,00:08.6,treatment,1,8,0,1,10.14423907,,,,,,
1962,00:08.6,control,0,2,0,0,0,,,,,,
1963,00:08.6,control,1,6,0,0,0,,,,,,
1964,00:08.6,treatment,0,0,0,0,0,,,,,,
1965,00:08.6,treatment,1,9,1,0,0,,,,,,
1966,00:08.6,treatment,0,1,0,0,0,,,,,,
1967,00:08.6,control,1,5,0,0,0,,,,,,
1968,00:08.6,control,0,1,0,0,0,,,,,,
1969,00:08.6,control,1,4,0,0,0,,,,,,
1970,00:08.6,control,1,6,0,1,6.942298763,,,,,,
1971,00:08.6,treatment,1,5,0,0,0,,,,,,
1972,00:08.6,control,1,5,0,0,0,,,,,,
1973,00:08.6,control,1,4,0,0,0,,,,,,
1974,00:08.6,treatment,0,0,1,0,0,,,,,,
1975,00:08.6,treatment,1,5,0,0,0,,,,,,
1976,00:08.6,treatment,1,6,0,0,0,,,,,,
1977,00:08.6,control,1,4,1,0,0,,,,,,
1978,00:08.6,control,0,2,1,0,0,,,,,,
1979,00:08.6,control,0,1,0,0,0,,,,,,
1980,00:08.6,control,0,2,1,1,10.44852609,,,,,,
1981,00:08.6,control,0,0,1,0,0,,,,,,
1982,00:08.6,treatment,0,0,1,0,0,,,,,,
1983,00:08.6,treatment,1,1,1,0,0,,,,,,
1984,00:08.6,control,1,9,0,0,0,,,,,,
1985,00:08.6,control,0,1,0,0,0,,,,,,
1986,00:08.6,control,1,2,1,1,12.67483394,,,,,,
1987,00:08.6,control,0,0,0,0,0,,,,,,
1988,00:08.6,control,1,4,0,0,0,,,,,,
